Date,SP500,HKHSI,Nikkei225
12/13/2017,-0.000473069,0.014762365,-0.004738701
12/14/2017,-0.004079168,-0.001908553,-0.002799455
12/15/2017,0.008934313,-0.010972248,-0.006242486
12/18/2017,0.005348478,0.006988144,0.015336299
12/19/2017,-0.003235498,0.006972097,-0.001475626
12/20/2017,-0.000828236,-0.000669211,0.00103675
12/21/2017,0.001983687,0.004538168,-0.001119857
12/22/2017,-0.000458271,0.007157515,0.00160197
12/27/2017,0.000790628,0.000664137,0.00080873
12/28/2017,0.001832319,0.008948753,-0.005568673
12/29/2017,-0.005196632,0.001854694,-0.000836069
1/4/2018,0.004020543,0.005727213,0.032048141
1/5/2018,0.007009146,0.002539684,0.008818161
1/9/2018,0.001302083,0.003614256,0.005695897
1/10/2018,-0.001112846,0.002007262,-0.002594181
1/11/2018,0.007009026,0.001500783,-0.003274604
1/12/2018,0.006726926,0.009343895,-0.002390385
1/16/2018,-0.003530713,0.017895749,0.009941183
1/17/2018,0.009371006,0.002462434,-0.00349103
1/18/2018,-0.001617698,0.004321933,-0.004407605
1/19/2018,0.004375648,0.00413041,0.001878918
1/22/2018,0.008034364,0.004285333,0.000347281
1/23/2018,0.002172005,0.016450318,0.012841947
1/24/2018,-0.000560133,0.000849672,-0.007630178
1/25/2018,0.000602439,-0.009273885,-0.011396365
1/26/2018,0.011771638,0.015185909,-0.001590203
1/29/2018,-0.006754736,-0.005663282,-0.000107531
1/30/2018,-0.010958643,-0.010967889,-0.014380457
1/31/2018,0.000488866,0.008549784,-0.008350148
2/1/2018,-0.000648299,-0.007483083,0.016650608
2/2/2018,-0.02143668,-0.001235689,-0.009049557
2/5/2018,-0.041842541,-0.01099703,-0.025784411
2/6/2018,0.017290574,-0.052519515,-0.048407902
2/7/2018,-0.005014138,-0.008937252,0.001624248
2/8/2018,-0.038259052,0.004214615,0.011277634
2/9/2018,0.014825645,-0.031485931,-0.023490767
2/13/2018,0.002609522,0.01281312,-0.006471906
2/14/2018,0.01331344,0.022404014,-0.004269451
2/15/2018,0.011996862,0.019465812,0.014585746
2/20/2018,-0.005858517,-0.007801378,-0.010169791
2/21/2018,-0.005511665,0.017920553,0.002082698
2/22/2018,0.000973078,-0.014943518,-0.010724689
2/23/2018,0.015901278,0.009689178,0.00716678
2/26/2018,0.011688439,0.007374425,0.011844534
2/27/2018,-0.012788312,-0.007326765,0.010606745
2/28/2018,-0.011157806,-0.013650715,-0.014468668
3/1/2018,-0.013413966,0.006447998,-0.015700174
3/2/2018,0.005058785,-0.014954619,-0.025304509
3/5/2018,0.010971617,-0.023055774,-0.006610088
3/6/2018,0.002635383,0.020675227,0.017695763
3/7/2018,-0.000483992,-0.010338511,-0.007735553
3/8/2018,0.004453148,0.015040178,0.005412846
3/9/2018,0.017229547,0.011084862,0.004721547
3/12/2018,-0.001274797,0.019112707,0.016392311
3/13/2018,-0.00638391,0.000225304,0.006579759
3/14/2018,-0.00574097,-0.005280748,-0.008723743
3/15/2018,-0.000782236,0.003369212,0.00122347
3/16/2018,0.001701998,-0.001241339,-0.005861935
3/19/2018,-0.014306041,0.000374163,-0.009064989
3/20/2018,0.001480708,0.001147092,-0.004662879
3/22/2018,-0.025484887,-0.010993649,0.009821116
3/23/2018,-0.021189807,-0.024822307,-0.046164763
3/26/2018,0.026795041,0.007870172,0.00716417
3/27/2018,-0.017427286,0.007892513,0.026198072
3/28/2018,-0.002920919,-0.025268845,-0.013507597
3/29/2018,0.013675777,0.002357166,0.006056826
4/3/2018,0.012535961,0.002877511,-0.004512147
4/4/2018,0.011500102,-0.02215915,0.001279537
4/6/2018,-0.022164067,0.010991689,-0.003605424
4/9/2018,0.003330995,0.012805625,0.005121447
4/10/2018,0.016588599,0.016377463,0.005339495
4/11/2018,-0.005540686,0.005483721,-0.004931804
4/12/2018,0.008216899,-0.002152365,-0.00123746
4/13/2018,-0.0028908,-0.000742977,0.005454139
4/16/2018,0.008076337,-0.016124662,0.002604152
4/17/2018,0.010605072,-0.008375233,0.000552183
4/18/2018,0.00083102,0.007340912,0.014116985
4/19/2018,-0.005742582,0.013909742,0.001487303
4/20/2018,-0.008573177,-0.009492128,-0.001304948
4/23/2018,5.62E-05,-0.005403748,-0.003353707
4/24/2018,-0.013470888,0.012541988,0.008568749
4/25/2018,0.001835374,-0.010107293,-0.002822837
4/26/2018,0.010380144,-0.010622999,0.004683481
4/27/2018,0.001113005,0.009056214,0.006620614
5/2/2018,-0.007231951,-0.002748747,-0.001567335
5/7/2018,0.003451981,0.002261647,-0.000250073
5/8/2018,-0.000265677,0.013529034,0.001846738
5/9/2018,0.009635648,0.004375864,-0.004444085
5/10/2018,0.009327011,0.008903098,0.003932607
5/11/2018,0.00170614,0.010102891,0.01154789
5/14/2018,0.000883099,0.013373916,0.004707097
5/15/2018,-0.006865655,-0.012411437,-0.002094387
5/16/2018,0.00405234,-0.001343674,-0.004426866
5/17/2018,-0.000856239,-0.00541637,0.005318291
5/18/2018,-0.002635665,0.003412156,0.004019791
5/21/2018,0.007359605,0.005986938,0.003135447
5/23/2018,0.003243145,-0.018375608,-0.011855523
5/24/2018,-0.002025263,0.003085649,-0.011201033
5/25/2018,-0.002360003,-0.005619426,0.000613944
5/29/2018,-0.011631573,-0.010042368,-0.005471087
5/30/2018,0.012615876,-0.014132424,-0.015319521
5/31/2018,-0.006903333,0.013606789,0.008290385
